metric,Baseline historique,Baseline uploadée,Dernier run
answer_relevancy,0.518936,0.824918,0.817038
faithfulness,0.530251,0.930548,0.954032
hit_at_k,0.444444,0.4,0.422222
mrr,0.444444,0.388889,0.422222
precision_at_k,0.088889,0.08,0.084444
recall_at_k,0.344444,0.322222,0.344444
sql_row_count,,1.972222,1.945946
tool_call_accuracy_ragas,,0.955556,0.955556
tool_call_f1_ragas,,0.985185,0.985185
tool_call_precision_ragas,,1.0,1.0
tool_call_recall_ragas,,0.977778,0.977778
tool_routing_ok,,0.955556,0.955556
